Date,Ticker,Open,High,Low,Close,Volume,Daily Return (%),MA5,MA10
2026-06-26 00:00:00-04:00,IBM,258.94,273.14,258.28,271.63,9719900,4.9,262.004,263.323
2026-06-29 00:00:00-04:00,IBM,274.3,278.15,269.06,278.0,6464200,1.35,267.15999999999997,263.899
2026-06-30 00:00:00-04:00,IBM,273.21,282.57,271.12,281.21,7458400,2.93,270.414,265.149
2026-07-01 00:00:00-04:00,IBM,279.66,294.49,278.96,286.25,6905800,2.36,275.072,266.693
2026-07-02 00:00:00-04:00,IBM,283.14,290.93,282.28,289.52,5944100,2.25,281.322,269.40999999999997
2026-07-06 00:00:00-04:00,IBM,288.35,300.82,287.65,299.52,7181500,3.87,286.9,274.452
2026-07-07 00:00:00-04:00,IBM,305.66,311.8,300.49,306.13,8601500,0.15,292.52599999999995,279.843
2026-06-08 00:00:00-04:00,INTC,111.0,112.54,106.66,110.27,136973900,-0.66,,
2026-06-09 00:00:00-04:00,INTC,112.99,114.0,99.46,107.92,149623100,-4.49,,
2026-06-10 00:00:00-04:00,INTC,106.03,111.5,104.92,107.04,122653500,0.95,,
2026-06-11 00:00:00-04:00,INTC,113.52,119.44,110.51,116.96,188430300,3.03,,
2026-06-12 00:00:00-04:00,INTC,117.42,127.6,115.33,124.57,151169400,6.09,113.352,
2026-06-15 00:00:00-04:00,INTC,129.49,132.61,126.66,127.86,134507500,-1.26,116.87,
2026-06-16 00:00:00-04:00,INTC,125.11,128.7,116.0,117.05,132962600,-6.44,118.696,
2026-06-17 00:00:00-04:00,INTC,121.85,125.2,118.06,121.1,115324900,-0.62,121.508,
2026-06-18 00:00:00-04:00,INTC,131.81,135.48,127.9,133.99,233906600,1.65,124.91399999999999,
2026-06-22 00:00:00-04:00,INTC,139.12,141.45,136.21,140.94,127190600,1.31,128.18800000000002,120.77000000000001
2026-06-23 00:00:00-04:00,INTC,129.73,137.98,128.3,132.28,132976700,1.97,129.072,122.971
2026-06-24 00:00:00-04:00,INTC,133.05,136.08,127.95,131.65,104591700,-1.05,131.99200000000002,125.34400000000001
2026-06-25 00:00:00-04:00,INTC,139.73,140.72,125.41,132.87,122588800,-4.91,134.346,127.92699999999999
2026-06-26 00:00:00-04:00,INTC,128.71,131.23,125.5,128.32,99475400,-0.3,133.212,129.063
2026-06-29 00:00:00-04:00,INTC,127.0,132.05,118.5,131.72,106805300,3.72,131.368,129.778
2026-06-30 00:00:00-04:00,INTC,131.99,142.35,131.52,139.63,116996700,5.79,132.838,130.955
2026-07-01 00:00:00-04:00,INTC,135.0,135.74,126.68,127.02,113107200,-5.91,131.91199999999998,131.952
2026-07-02 00:00:00-04:00,INTC,128.92,130.74,117.63,120.35,124577600,-6.65,129.408,131.877
2026-07-06 00:00:00-04:00,INTC,122.57,127.3,121.52,122.2,86950200,-0.3,128.18400000000003,130.698
2026-07-07 00:00:00-04:00,INTC,116.3,116.47,108.3,110.39,139801400,-5.08,123.918,127.64299999999999
2026-06-08 00:00:00-04:00,JPM,311.85,314.88,309.39,309.71,6827000,-0.69,,
2026-06-09 00:00:00-04:00,JPM,312.1,315.0,307.62,311.3,11594600,-0.26,,
2026-06-10 00:00:00-04:00,JPM,311.16,313.34,307.64,307.75,7446200,-1.1,,
2026-06-11 00:00:00-04:00,JPM,308.17,313.31,307.49,312.08,9116600,1.27,,
2026-06-12 00:00:00-04:00,JPM,314.55,319.86,314.13,319.28,7426200,1.5,312.024,
2026-06-15 00:00:00-04:00,JPM,322.47,324.46,317.41,317.97,7988900,-1.4,313.676,
2026-06-16 00:00:00-04:00,JPM,322.85,330.26,322.57,329.65,11094900,2.11,317.346,
2026-06-17 00:00:00-04:00,JPM,330.69,336.26,330.01,331.96,12246400,0.38,322.188,
2026-06-18 00:00:00-04:00,JPM,335.44,336.57,322.71,323.76,20111000,-3.48,324.524,
2026-06-22 00:00:00-04:00,JPM,328.22,331.28,325.28,329.99,10182500,0.54,326.666,319.34499999999997
2026-06-23 00:00:00-04:00,JPM,327.99,333.87,325.74,332.64,7582200,1.42,329.6,321.63800000000003
2026-06-24 00:00:00-04:00,JPM,331.58,333.03,328.29,331.95,7907400,0.11,330.06,323.703
2026-06-25 00:00:00-04:00,JPM,333.46,341.91,333.26,333.62,10043100,0.05,330.392,326.28999999999996
2026-06-26 00:00:00-04:00,JPM,334.49,334.89,326.03,327.57,17640900,-2.07,331.154,327.839
2026-06-29 00:00:00-04:00,JPM,326.81,330.9,325.73,327.91,7981800,0.34,330.738,328.702
2026-06-30 00:00:00-04:00,JPM,327.42,328.96,325.21,325.86,8080100,-0.48,329.382,329.491
