Date,Ticker,Open,High,Low,Close,Volume
2026-06-08 00:00:00-04:00,CRM,183.44,184.54,181.24,182.08,11177800
2026-06-09 00:00:00-04:00,CRM,179.04,181.99,171.12,174.9,15427800
2026-06-10 00:00:00-04:00,CRM,170.16,175.08,169.59,170.48,10820500
2026-06-11 00:00:00-04:00,CRM,168.27,168.98,163.31,166.45,16666000
2026-06-12 00:00:00-04:00,CRM,164.74,166.54,161.4,165.89,13589400
2026-06-15 00:00:00-04:00,CRM,166.03,169.95,164.17,164.55,13541800
2026-06-16 00:00:00-04:00,CRM,164.06,166.3,160.5,161.71,16385300
2026-06-17 00:00:00-04:00,CRM,160.25,161.43,154.23,155.02,19986200
2026-06-18 00:00:00-04:00,CRM,152.73,154.47,149.8,151.78,57940800
2026-06-22 00:00:00-04:00,CRM,150.16,153.87,146.32,150.12,20502800
2026-06-23 00:00:00-04:00,CRM,151.65,155.18,150.85,153.42,20720700
2026-06-24 00:00:00-04:00,CRM,151.81,157.06,150.4,152.76,13146800
2026-06-25 00:00:00-04:00,CRM,150.01,154.0,148.78,150.19,11324700
2026-06-26 00:00:00-04:00,CRM,151.49,158.46,151.49,158.37,21267900
2026-06-29 00:00:00-04:00,CRM,160.27,161.76,157.7,157.93,12664100
2026-06-30 00:00:00-04:00,CRM,155.09,157.69,154.07,156.66,13690500
2026-07-01 00:00:00-04:00,CRM,162.22,165.81,161.2,163.23,14164600
2026-07-02 00:00:00-04:00,CRM,163.0,167.21,162.0,166.11,10486300
2026-07-06 00:00:00-04:00,CRM,163.99,167.72,162.37,165.65,10595500
2026-07-07 00:00:00-04:00,CRM,169.22,172.38,167.68,169.52,13051300
2026-06-08 00:00:00-04:00,ADBE,249.06,250.74,244.25,244.99,4728000
2026-06-09 00:00:00-04:00,ADBE,242.98,245.25,233.33,237.88,6747400
2026-06-10 00:00:00-04:00,ADBE,233.02,238.51,231.74,233.38,5176900
2026-06-11 00:00:00-04:00,ADBE,229.92,232.5,218.09,218.8,17786900
2026-06-12 00:00:00-04:00,ADBE,202.4,205.65,196.9,204.02,25030700
2026-06-15 00:00:00-04:00,ADBE,206.88,211.99,205.72,206.36,9676900
2026-06-16 00:00:00-04:00,ADBE,205.38,210.8,203.84,207.32,7214600
2026-06-17 00:00:00-04:00,ADBE,204.02,206.5,195.02,196.28,10731500
2026-06-18 00:00:00-04:00,ADBE,193.6,196.78,190.12,195.16,15852500
2026-06-22 00:00:00-04:00,ADBE,193.39,199.25,191.2,194.9,8282600
2026-06-23 00:00:00-04:00,ADBE,197.96,200.55,195.35,197.43,6910500
2026-06-24 00:00:00-04:00,ADBE,195.89,202.41,195.1,196.57,6947400
2026-06-25 00:00:00-04:00,ADBE,193.0,199.3,191.8,193.41,6957500
2026-06-26 00:00:00-04:00,ADBE,195.48,203.48,195.29,202.73,9172100
2026-06-29 00:00:00-04:00,ADBE,206.67,209.54,204.34,206.43,7527300
2026-06-30 00:00:00-04:00,ADBE,204.1,205.6,201.31,205.02,6269500
2026-07-01 00:00:00-04:00,ADBE,209.43,213.66,207.06,210.98,5863800
2026-07-02 00:00:00-04:00,ADBE,215.55,222.15,213.74,219.72,7903100
2026-07-06 00:00:00-04:00,ADBE,216.1,219.76,212.9,218.07,4800200
2026-07-07 00:00:00-04:00,ADBE,221.16,230.74,220.29,221.54,8610700
